Date,Open,High,Low,Close,Adj Close,Volume
2019-01-17,84.000000,85.008499,83.875000,84.661003,84.661003,84178000
2019-01-18,85.599998,85.809998,84.577003,84.809998,84.809998,120410000
2019-01-22,84.050003,84.093498,80.510002,81.608498,81.608498,128336000
2019-01-23,82.800003,82.871498,80.599998,82.000999,82.000999,104504000
2019-01-24,82.053497,82.862999,81.588997,82.746498,82.746498,81798000
2019-01-25,83.525002,84.174004,83.080498,83.528503,83.528503,98918000
2019-01-28,82.179497,82.250000,80.704498,81.894501,81.894501,96754000
2019-01-29,81.563499,81.619003,79.536003,79.694000,79.694000,92656000
2019-01-30,81.150002,83.847504,80.984001,83.521500,83.521500,115676000
2019-01-31,84.642502,86.820503,83.954002,85.936501,85.936501,218206000
2019-02-01,81.944000,83.653000,81.100502,81.311501,81.311501,230124000
2019-02-04,81.150002,82.481499,80.675003,81.665497,81.665497,98582000
2019-02-05,82.167000,83.263000,82.125000,82.940498,82.940498,89062000
2019-02-06,83.537498,83.612999,81.667000,82.013000,82.013000,78798000
2019-02-07,81.250000,81.277000,79.645500,80.718498,80.718498,92532000
2019-02-08,79.300003,79.429497,78.337997,79.411003,79.411003,113150000
2019-02-11,80.049004,80.464500,79.300003,79.550003,79.550003,66346000
2019-02-12,80.199997,81.970001,79.944000,81.900497,81.900497,97172000
2019-02-13,82.349998,82.819000,81.855499,82.000000,82.000000,71206000
2019-02-14,81.224998,81.894997,80.303001,81.132500,81.132500,82410000
2019-02-15,81.392998,81.445503,80.224998,80.397499,80.397499,86878000
2019-02-19,80.050003,81.699997,80.028000,81.378998,81.378998,73634000
2019-02-20,81.500000,81.746498,80.505997,81.105003,81.105003,66752000
2019-02-21,80.992500,81.178001,80.045502,80.972000,80.972000,69668000
2019-02-22,81.175003,81.747002,81.058502,81.578003,81.578003,61924000
2019-02-25,82.072502,82.730003,81.519501,81.650002,81.650002,63690000
2019-02-26,81.299004,81.999496,80.806503,81.820000,81.820000,53316000
2019-02-27,81.408997,82.090500,80.754997,82.054497,82.054497,62976000
2019-02-28,81.762497,82.588501,81.691498,81.991501,81.991501,60518000
2019-03-01,82.756500,83.712997,82.550003,83.586502,83.586502,99498000
2019-03-04,84.250000,85.471497,83.718002,84.808502,84.808502,123348000
2019-03-05,85.147499,85.389999,84.450500,84.621498,84.621498,73630000
2019-03-06,84.798500,84.887497,83.414001,83.447502,83.447502,79920000
2019-03-07,83.368500,83.487503,81.025497,81.297501,81.297501,99140000
2019-03-08,80.200500,81.136002,79.328499,81.040001,81.040001,93340000
2019-03-11,81.306000,83.614502,81.300499,83.530998,83.530998,77528000
2019-03-12,83.449997,84.213501,83.049004,83.654999,83.654999,72290000
2019-03-13,84.150002,85.000000,83.967499,84.540497,84.540497,71040000
2019-03-14,84.559998,85.099998,84.217003,84.310997,84.310997,58932000
2019-03-15,85.150002,85.940002,84.656502,85.617996,85.617996,151018000
2019-03-18,85.635002,87.500000,85.631500,87.107498,87.107498,108582000
2019-03-19,87.675499,89.208000,87.675499,88.092499,88.092499,127284000
2019-03-20,88.497002,89.974998,88.351501,89.863503,89.863503,125312000
2019-03-21,89.813004,91.187500,89.363998,90.962997,90.962997,115356000
2019-03-22,90.508499,90.948997,88.155502,88.238503,88.238503,127260000
2019-03-25,87.889503,89.134003,87.375000,88.712997,88.712997,102076000
2019-03-26,89.650002,90.288498,88.667999,89.188004,89.188004,97318000
2019-03-27,89.206497,89.375000,87.283997,88.285004,88.285004,86496000
2019-03-28,88.500000,88.896500,87.673500,88.670998,88.670998,60860000
2019-03-29,89.329002,89.642998,88.831497,89.037498,89.037498,66416000
2019-04-01,90.005501,90.783501,89.936501,90.709503,90.709503,84776000
2019-04-02,90.551003,91.000000,90.255997,90.698997,90.698997,68962000
2019-04-03,91.335999,91.500000,90.481003,91.035004,91.035004,78522000
2019-04-04,91.032501,91.437500,90.209999,90.943001,90.943001,72478000
2019-04-05,91.449997,91.929001,91.259499,91.863998,91.863998,72810000
2019-04-08,91.661499,92.510002,91.255501,92.492996,92.492996,75056000
2019-04-09,92.274498,92.654503,91.588997,91.792000,91.792000,74288000
2019-04-10,92.050003,92.400002,91.440498,92.366501,92.366501,59280000
2019-04-11,92.434998,92.497498,92.015503,92.203499,92.203499,53096000
2019-04-12,92.419998,92.574997,92.065002,92.153000,92.153000,62288000
2019-04-15,92.099998,92.342499,90.945000,92.243500,92.243500,74488000
2019-04-16,92.567497,93.488503,92.400002,93.152000,93.152000,60892000
2019-04-17,93.649498,93.823502,93.022003,93.240997,93.240997,57870000
2019-04-18,93.439499,93.541000,92.973999,93.084503,93.084503,54998000
2019-04-22,92.769997,94.420998,92.281998,94.365501,94.365501,67476000
2019-04-23,94.559998,96.462997,94.478996,96.188499,96.188499,92808000
2019-04-24,96.250000,96.484497,94.907997,95.087502,95.087502,73516000
2019-04-25,95.849998,96.122498,95.015503,95.112503,95.112503,121982000
2019-04-26,96.449997,97.550003,94.900002,97.531502,97.531502,168652000
2019-04-29,97.449997,97.817001,96.704498,96.921501,96.921501,80426000
2019-04-30,96.504997,96.785500,95.347504,96.325996,96.325996,70120000
2019-05-01,96.654503,97.181999,95.527496,95.575996,95.575996,62340000
2019-05-02,95.666496,96.077499,94.093498,95.041000,95.041000,79258000
2019-05-03,97.449997,98.220001,96.800003,98.123001,98.123001,127632000
2019-05-06,95.899002,97.949997,95.525002,97.527496,97.527496,108356000
2019-05-07,96.999496,97.455002,95.168999,96.050003,96.050003,118042000
2019-05-08,95.943497,96.768501,95.500000,95.888496,95.888496,81572000
2019-05-09,95.000000,95.470001,93.800003,94.993500,94.993500,106166000
2019-05-10,94.900002,95.189499,92.800003,94.499001,94.499001,114360000
2019-05-13,91.828003,92.327003,90.900002,91.134003,91.134003,115668000
2019-05-14,91.974998,92.622002,90.787498,92.005997,92.005997,92582000
2019-05-15,91.397499,93.721497,91.150002,93.557503,93.557503,93852000
2019-05-16,94.296997,95.875504,94.114502,95.378502,95.378502,94156000
2019-05-17,94.652496,95.526497,93.366501,93.449997,93.449997,94732000
2019-05-20,92.634499,93.389000,91.777000,92.948502,92.948502,75964000
2019-05-21,93.739502,93.949997,92.300003,92.875999,92.875999,80102000
2019-05-22,92.588997,93.574501,92.550003,92.984001,92.984001,58732000
2019-05-23,91.829498,92.199997,90.209999,90.774002,90.774002,88486000
2019-05-24,91.794502,92.087997,90.892502,91.164001,91.164001,67394000
2019-05-28,91.637497,92.463501,91.367500,91.821503,91.821503,64000000
2019-05-29,91.155998,91.500000,90.376503,90.959503,90.959503,85580000
2019-05-30,91.274498,91.473503,90.391502,90.816002,90.816002,62938000
2019-05-31,89.500504,89.779503,88.635002,88.753502,88.753502,92376000
